DataId,who_region,iso3,country_name,city,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,number_of_stations,population,latitude,longitude,who_ms,Air_quality_category
0042,4_Eur,ITA,Italy,Thiene,2010,Tidak diketahui,Tidak diketahui,29.173,Tidak diketahui,Tidak diketahui,97,Somewhere,1,21145,45.7161109999999,11.472222,1,Safety
0043,3_Sear,BTN,Bhutan,Thimphu,2010,47.0,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,152398,27.4727999999999,89.6393,1,Safety
0044,4_Eur,DEU,Germany,Duderstadt,2010,19.201,Tidak diketahui,12.364,99,Tidak diketahui,96,Somewhere,1,21262,51.5075799999999,10.2385389999999,1,Safety
0045,4_Eur,IRL,Ireland,Dublin,2010,15.81,11.164,28.889,86,97,97,Somewhere,1,1228179,53.3347634,-6.26364673333333,1,Safety
0046,4_Eur,FRA,France,Thionville,2010,24.722,22.355,21.834,93,96,96,Somewhere,1,40951,49.367779,6.16564666666666,1,Safety
0047,4_Eur,ITA,Italy,Druento,2010,26.508,Tidak diketahui,16.129,97,Tidak diketahui,97,Somewhere,1,8436,45.175556,7.56,1,Safety
0048,4_Eur,GRC,Greece,Thessaloniki,2010,46.222,Tidak diketahui,27.06,89,Tidak diketahui,91,Somewhere,1,812166,40.633774,22.945288,1,Safety
0049,4_Eur,ROU,Romania,Drobeta Turnu Severin,2010,Tidak diketahui,21.926,Tidak diketahui,Tidak diketahui,88,Tidak diketahui,Somewhere,1,92617,44.627495,22.694174,1,Safety
0050,4_Eur,FRA,France,Dreux,2010,21.293,Tidak diketahui,14.873,97,Tidak diketahui,96,Somewhere,1,30536,48.731389,1.36388899999999,1,Safety
0051,4_Eur,GRC,Greece,Thrakomakedones,2010,36.739,Tidak diketahui,9.883,78,Tidak diketahui,82,Somewhere,1,6201,38.1435239999999,23.7581829999999,1,Safety
0052,4_Eur,DEU,Germany,Dresden,2010,27.928,19.313,37.567,93,99,98,Somewhere,1,575476,51.0430187272727,13.7347852727273,1,Safety
0053,4_Eur,DEU,Germany,Dreissigacker,2010,16.364,Tidak diketahui,12.998,100,Tidak diketahui,97,Somewhere,1,1333,50.5617519999999,10.3752999999999,1,Safety
0054,4_Eur,NOR,Norway,Drammen,2010,21.304,Tidak diketahui,45.225,97,Tidak diketahui,93,Somewhere,1,67016,59.7333339999999,10.2116779999999,1,Safety
0055,2_Amr,USA,United States of America,Dover DE,2010,Tidak diketahui,9.5,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,46366,39.070836,-75.5374279999999,1,Safety
0056,4_Eur,GBR,United Kingdom of Great Britain and Northern Ireland,Thurrock,2010,24.201,Tidak diketahui,29.199,Tidak diketahui,Tidak diketahui,85,Somewhere,1,149056,51.4770699999999,0.317969,1,Safety
0057,4_Eur,FRA,France,Thonon Les Bains,2010,19.49,Tidak diketahui,16.194,98,Tidak diketahui,100,Somewhere,1,79147,46.3744439999999,6.48472199999999,1,Safety
0058,4_Eur,AUT,Austria,Thaures,2010,18.147,Tidak diketahui,8.922,Tidak diketahui,Tidak diketahui,93,Somewhere,1,128,48.8786089999999,15.0466789999999,1,Safety
0059,4_Eur,CZE,Czechia,Dukovany,2010,20.051,Tidak diketahui,Tidak diketahui,97,Tidak diketahui,Tidak diketahui,Somewhere,1,901,49.095581,16.13446,1,Safety
0060,2_Amr,USA,United States of America,Duluth MN WI,2010,20.2,5.3,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,86697,46.9592030389986,-92.2332331353189,1,Safety
0061,4_Eur,ITA,Italy,Termoli,2010,16.966,Tidak diketahui,33.652,91,Tidak diketahui,93,Somewhere,1,32793,41.9995824999999,14.9934725,1,Safety
0062,2_Amr,USA,United States of America,Durham Chapel Hill NC,2010,Tidak diketahui,10.2,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,417924,36.0329550008979,-78.904037,1,Safety
0063,4_Eur,FRA,France,Ternay,2010,25.367,Tidak diketahui,26.717,96,Tidak diketahui,99,Somewhere,1,5357,45.6019,4.8022,1,Safety
0064,4_Eur,AUT,Austria,Ternberg,2010,23.872,Tidak diketahui,13.009,Tidak diketahui,Tidak diketahui,88,Somewhere,1,3371,47.94389,14.361667,1,Safety
0065,4_Eur,ITA,Italy,Terni,2010,25.768,16.881,30.232,97,95,92,Somewhere,1,111659,42.5624434999999,12.6434166,1,Safety
0066,4_Eur,ESP,Spain,Durango,2010,19.82,Tidak diketahui,31.103,99,Tidak diketahui,99,Somewhere,1,28806,43.1722219999999,-2.63583299999999,1,Safety
0067,2_Amr,USA,United States of America,Durango CO,2010,Tidak diketahui,4.3,9.033,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,20,37.1810833336366,-107.661005333333,1,Safety
0068,2_Amr,BRA,Brazil,Duque De Caxias,2010,41.0,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,887960,-22.7067603333333,-43.3034366666667,1,Safety
0069,4_Eur,ESP,Spain,Terrassa,2010,Tidak diketahui,Tidak diketahui,49.383,Tidak diketahui,Tidak diketahui,99,Somewhere,1,214406,41.555556,2.007778,1,Safety
0070,4_Eur,DEU,Germany,Dunzweiler,2010,14.716,Tidak diketahui,11.907,99,Tidak diketahui,95,Somewhere,1,910,49.423138,7.293522,1,Safety
0071,2_Amr,USA,United States of America,Terre Haute IN,2010,21.3,13.3,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,172425,39.4859870009261,-87.4013119999999,1,Safety
0072,4_Eur,FRA,France,Dunkerque,2010,25.284,16.542,19.099,98,98,98,Somewhere,1,91386,51.0352765,2.3369445,1,Safety
0073,4_Eur,ESP,Spain,Teruel,2010,14.626,Tidak diketahui,10.497,95,Tidak diketahui,93,Somewhere,1,35675,40.3363889999999,-1.106667,1,Safety
0074,4_Eur,HUN,Hungary,Dunaujvaros,2010,25.841,Tidak diketahui,18.102,100,Tidak diketahui,99,Somewhere,1,46508,46.976112,18.9361129999999,1,Safety
0075,4_Eur,ROU,Romania,Tetchea,2010,Tidak diketahui,Tidak diketahui,8.87,Tidak diketahui,Tidak diketahui,85,Somewhere,1,3141,47.343609,22.331671,1,Safety
0076,4_Eur,MKD,North Macedonia,Tetovo,2010,Tidak diketahui,Tidak diketahui,20.888,Tidak diketahui,Tidak diketahui,84,Somewhere,1,55790,42.0044439999999,20.968069,1,Safety
0077,4_Eur,GBR,United Kingdom of Great Britain and Northern Ireland,Dumfries,2010,Tidak diketahui,Tidak diketahui,39.94,Tidak diketahui,Tidak diketahui,99,Somewhere,1,33891,55.070033,-3.614233,1,Safety
0078,4_Eur,ITA,Italy,Tarvisio,2010,17.782,Tidak diketahui,17.682,75,Tidak diketahui,91,Somewhere,1,2509,46.503334,13.5769439999999,1,Safety
0079,4_Eur,POL,Poland,Elblag,2010,26.482,22.679,13.721,93,88,82,Somewhere,1,126915,54.168056,19.410833,1,Safety
0080,4_Eur,ESP,Spain,Elche,2010,Tidak diketahui,Tidak diketahui,16.675,Tidak diketahui,Tidak diketahui,75,Somewhere,1,219708,38.2591669999999,-0.7175,1,Safety
0081,4_Eur,EST,Estonia,Tartu,2010,17.352,12.074,14.592,98,99,100,Somewhere,1,95332,58.370556,26.734722,1,Safety
0082,4_Eur,ITA,Italy,Este,2010,29.922,Tidak diketahui,28.759,95,Tidak diketahui,95,Somewhere,1,16576,45.2266649999999,11.6658329999999,1,Safety
0083,4_Eur,PRT,Portugal,Estarreja,2010,29.796,Tidak diketahui,20.876,80,Tidak diketahui,98,Somewhere,1,Tidak diketahui,40.679169,-8.58333299999999,1,Safety
0084,4_Eur,DEU,Germany,Essen,2010,28.494,18.7,44.544,96,95,93,Somewhere,1,582128,51.4614415454545,7.00356345454545,1,Safety
0085,4_Eur,FIN,Finland,Espoo,2010,14.745,8.482,17.976,94,96,98,Somewhere,1,213271,60.2575891999999,24.762577,1,Safety
0086,4_Eur,PRT,Portugal,Espinho,2010,39.336,Tidak diketahui,25.271,87,Tidak diketahui,89,Somewhere,1,20911,41.0130539999999,-8.63694699999999,1,Safety
0087,4_Eur,ESP,Spain,Espiel,2010,15.433,Tidak diketahui,Tidak diketahui,76,Tidak diketahui,Tidak diketahui,Somewhere,1,2424,38.108139,-4.9268,1,Safety
0088,4_Eur,TUR,Türkiye,Eskisehir,2010,35.937,Tidak diketahui,Tidak diketahui,97,Tidak diketahui,Tidak diketahui,Somewhere,1,783669,39.7805559999999,30.5011119999999,1,Safety
0089,2_Amr,BRA,Brazil,Esteio,2010,23.2,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,80643,-29.859154,-51.178705,1,Safety
0090,2_Amr,CHL,Chile,Talagante,2010,41.777,20.076,9.687,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,6507400,-33.6738,-70.953,1,Safety
0091,4_Eur,LUX,Luxembourg,Esch Sur Alzette,2010,21.559,9.908,28.83,96,88,95,Somewhere,1,30125,49.5050017499999,5.98250625,1,Safety
0092,4_Eur,FRA,France,Escautpont,2010,25.61,Tidak diketahui,18.361,95,Tidak diketahui,100,Somewhere,1,4227,50.42029,3.55181,1,Safety
0093,4_Eur,ESP,Spain,Escatron,2010,Tidak diketahui,Tidak diketahui,12.801,Tidak diketahui,Tidak diketahui,81,Somewhere,1,1120,41.288333,-0.326666999999999,1,Safety
0094,4_Eur,TUR,Türkiye,Erzurum,2010,63.212,Tidak diketahui,Tidak diketahui,96,Tidak diketahui,Tidak diketahui,Somewhere,1,431275,39.8980559999999,41.272499,1,Safety
0095,4_Eur,FRA,France,Talence,2010,25.864,18.088,22.221,98,93,99,Somewhere,1,40763,44.800556,-0.588056,1,Safety
0096,2_Amr,USA,United States of America,Tallahassee FL,2010,Tidak diketahui,9.7,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,Tidak diketahui,30.4397220008246,-84.346389,1,Safety
0097,4_Eur,TUR,Türkiye,Erzincan,2010,59.682,Tidak diketahui,Tidak diketahui,95,Tidak diketahui,Tidak diketahui,Somewhere,1,97759,39.743057,39.494999,1,Safety
0098,4_Eur,ESP,Spain,Talavera De La Reina,2010,28.489,Tidak diketahui,23.524,98,Tidak diketahui,98,Somewhere,1,83750,39.9580559999999,-4.85083299999999,1,Safety
0099,4_Eur,HUN,Hungary,Esztergom,2010,29.836,22.748,18.186,100,96,99,Somewhere,1,28255,47.7900009999999,18.746122,1,Safety
00100,1_Afr,ZAF,South Africa,Ethekwini,2010,27.713,Tidak diketahui,41.87,1,1,1,Somewhere,1,3158313,-29.89887375,30.99809175,1,Safety
00101,4_Eur,ITA,Italy,Etroubles,2010,Tidak diketahui,Tidak diketahui,5.405,Tidak diketahui,Tidak diketahui,96,Somewhere,1,363,45.815834,7.235278,1,Safety
00102,2_Amr,USA,United States of America,Fairmont WV,2010,Tidak diketahui,13.3,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,Tidak diketahui,39.481483000926,-80.1346669999999,1,Safety
00103,5_Emr,IRN,Iran (Islamic Republic of),Tabriz,2010,91.84,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,1611133,37.8108005523681,45.6854000091552,1,Safety
00104,2_Amr,USA,United States of America,Fairbanks AK,2010,Tidak diketahui,12.6,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,32515,64.8456899999999,-147.727413,1,Safety
00105,5_Emr,SAU,Saudi Arabia,Tabuk Region,2010,126.0,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,657277,28.39008,36.554572,1,Safety
00106,4_Eur,ITA,Italy,Faenza,2010,28.239,19.879,25.62,95,90,99,Somewhere,1,57748,44.2833329999999,11.8718892,1,Safety
00107,4_Eur,ITA,Italy,Fabriano,2010,32.848,19.937,18.088,88,91,79,Somewhere,1,23231,43.343887,12.909444,1,Safety
00108,4_Eur,ESP,Spain,Fabero,2010,Tidak diketahui,12.199,13.521,Tidak diketahui,Tidak diketahui,98,Somewhere,1,4956,42.7813889999999,-6.60388899999999,1,Safety
00109,4_Eur,GBR,United Kingdom of Great Britain and Northern Ireland,Exeter,2010,Tidak diketahui,Tidak diketahui,39.877,Tidak diketahui,Tidak diketahui,97,Somewhere,1,Tidak diketahui,50.7250829999999,-3.532465,1,Safety
00110,4_Eur,FRA,France,Evry,2010,Tidak diketahui,Tidak diketahui,29.303,Tidak diketahui,Tidak diketahui,95,Somewhere,1,390,48.6272189999999,2.429167,1,Safety
00111,4_Eur,FRA,France,Evreux,2010,23.199,Tidak diketahui,20.298,96,Tidak diketahui,97,Somewhere,1,49359,49.0213389999999,1.148319,1,Safety
00112,4_Eur,FRA,France,Evin Malmaison,2010,27.262,Tidak diketahui,Tidak diketahui,90,Tidak diketahui,Tidak diketahui,Somewhere,1,4731,50.434569,3.040833,1,Safety
00113,4_Eur,BEL,Belgium,Evergem,2010,31.222,20.344,27.984,88,89,90,Somewhere,1,33277,51.135555,3.74391049999999,1,Safety
00114,2_Amr,USA,United States of America,Evansville IN KY,2010,19.8,13.2,20.9,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,117298,37.9938847244767,-87.5547552840974,1,Safety
00115,2_Amr,USA,United States of America,Evanston WY,2010,12.5,Tidak diketahui,2.7,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,11747,41.3964374304911,-110.807654109919,1,Safety
00116,2_Amr,USA,United States of America,Eureka Arcata Fortuna CA,2010,16.7,5.6,5.0,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,136463,40.7767800009331,-124.17949,1,Safety
00117,4_Eur,BEL,Belgium,Eupen,2010,Tidak diketahui,Tidak diketahui,15.289,Tidak diketahui,Tidak diketahui,94,Somewhere,1,18281,50.629421,6.001019,1,Safety
00118,2_Amr,USA,United States of America,Eugene OR,2010,11.7,7.2,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,176654,43.9093471999999,-122.93976585,1,Safety
00119,4_Eur,EST,Estonia,Tallinn,2010,14.397,6.315,17.143,96,95,98,Somewhere,1,445259,59.429099,24.6895262499999,1,Safety
00120,4_Eur,FRA,France,Douai,2010,26.983,23.538,25.255,98,95,93,Somewhere,1,41915,50.366664,3.08277799999999,1,Safety
00121,4_Eur,ESP,Spain,Errenteria,2010,21.067,Tidak diketahui,28.89,98,Tidak diketahui,98,Somewhere,1,39219,43.314444,-1.89944399999999,1,Safety
00122,4_Eur,PRT,Portugal,Ermesinde,2010,29.015,Tidak diketahui,30.251,100,Tidak diketahui,99,Somewhere,1,38869,41.2061119999999,-8.551683,1,Safety
00123,4_Eur,ROU,Romania,Targoviste,2010,22.957,Tidak diketahui,25.588,81,Tidak diketahui,92,Somewhere,1,72201,44.916218,25.4780669999999,1,Safety
00124,4_Eur,ROU,Romania,Targu Jiu,2010,31.872,Tidak diketahui,Tidak diketahui,81,Tidak diketahui,Tidak diketahui,Somewhere,1,82504,45.051628,23.2752669999999,1,Safety
00125,4_Eur,ROU,Romania,Targu Mures,2010,21.645,10.343,Tidak diketahui,85,80,Tidak diketahui,Somewhere,1,125701,46.537201,24.5466354999999,1,Safety
00126,4_Eur,DEU,Germany,Elsterwerda,2010,27.978,22.983,17.299,100,100,97,Somewhere,1,8601,51.4627339999999,13.526797,1,Safety
00127,4_Eur,POL,Poland,Tarnow,2010,44.909,32.293,22.909,81,83,94,Somewhere,1,116238,50.0202779999999,21.004722,1,Safety
00128,4_Eur,POL,Poland,Tarnowek,2010,20.92,Tidak diketahui,Tidak diketahui,81,Tidak diketahui,Tidak diketahui,Somewhere,1,2000,51.5133569999999,16.166688,1,Safety
00129,2_Amr,USA,United States of America,Elko NV,2010,25.9,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,20564,40.8383499999999,-115.766029,1,Safety
00130,4_Eur,DEU,Germany,Emden,2010,19.092,Tidak diketahui,16.239,98,Tidak diketahui,95,Somewhere,1,54300,53.362347,7.20726099999999,1,Safety
00131,4_Eur,POL,Poland,Tarnowo Podgorne,2010,29.988,Tidak diketahui,Tidak diketahui,79,Tidak diketahui,Tidak diketahui,Somewhere,1,2000,52.4674029999999,16.645917,1,Safety
00132,4_Eur,POL,Poland,Tarnowskie Gory,2010,42.535,Tidak diketahui,Tidak diketahui,94,Tidak diketahui,Tidak diketahui,Somewhere,1,60847,50.4440159999999,18.8279089999999,1,Safety
00133,2_Amr,USA,United States of America,Elizabethtown Fort Knox KY,2010,Tidak diketahui,11.8,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,Tidak diketahui,37.7056119999999,-85.8526289999999,1,Safety
00134,4_Eur,ESP,Spain,Tarragona,2010,Tidak diketahui,Tidak diketahui,26.033,Tidak diketahui,Tidak diketahui,95,Somewhere,1,133223,41.12541675,1.21993049999999,1,Safety
00135,4_Eur,GRC,Greece,Elefsina,2010,Tidak diketahui,Tidak diketahui,36.714,Tidak diketahui,Tidak diketahui,100,Somewhere,1,13366,38.0513499999999,23.538446,1,Safety
00136,4_Eur,ESP,Spain,Elda,2010,14.467,10.259,13.222,93,Tidak diketahui,97,Somewhere,1,55575,38.4547219999999,-0.803332999999999,1,Safety
00137,4_Eur,FRA,France,Tartas,2010,22.159,Tidak diketahui,Tidak diketahui,85,Tidak diketahui,Tidak diketahui,Somewhere,1,3134,43.8383329999999,-0.810833,1,Safety
00138,4_Eur,ESP,Spain,Elciego,2010,16.687,Tidak diketahui,9.682,98,Tidak diketahui,99,Somewhere,1,1054,42.5183329999999,-2.619444,1,Safety
00139,2_Amr,USA,United States of America,Elkhart Goshen IN,2010,Tidak diketahui,12.1,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,Tidak diketahui,41.657154959937,-85.96844591,1,Safety
00140,4_Eur,DEU,Germany,Emmerich,2010,29.83,Tidak diketahui,33.662,98,Tidak diketahui,93,Somewhere,1,29918,51.8738859999999,6.15638899999999,1,Safety
00141,4_Eur,FRA,France,Tarbes,2010,22.429,Tidak diketahui,21.234,99,Tidak diketahui,95,Somewhere,1,42888,43.2325943333332,0.0773146666666667,1,Safety
00142,4_Eur,FRA,France,Tarascon,2010,Tidak diketahui,Tidak diketahui,9.752,Tidak diketahui,Tidak diketahui,99,Somewhere,1,15811,43.830703,4.64308899999999,1,Safety
00143,4_Eur,DEU,Germany,Erlangen,2010,21.452,Tidak diketahui,28.901,100,Tidak diketahui,100,Somewhere,1,112385,49.6042689999999,10.9824225,1,Safety
00144,2_Amr,USA,United States of America,Tampa St Petersburg Clearwater FL,2010,21.7,8.1,10.7,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,2877274,27.8860158660424,-82.452268345057,1,Safety
00145,2_Amr,USA,United States of America,Erie PA,2010,14.2,11.1,14.8,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,94831,42.1417499999999,-80.038611,1,Safety
00146,4_Eur,DEU,Germany,Erfurt,2010,26.842,16.837,33.076,99,98,97,Somewhere,1,202296,50.9816248,11.0304968,1,Safety
00147,4_Eur,FIN,Finland,Tampere,2010,18.051,9.449,18.384,97,98,97,Somewhere,1,341582,61.5021066666666,23.7378769999999,1,Safety
00148,4_Eur,AUT,Austria,Tamsweg,2010,17.112,Tidak diketahui,24.099,Tidak diketahui,Tidak diketahui,91,Somewhere,1,5628,47.1399995,13.655977,1,Safety
00149,4_Eur,ITA,Italy,Erba,2010,23.824,Tidak diketahui,34.992,95,Tidak diketahui,97,Somewhere,1,16503,45.8094439999999,9.222777,1,Safety
